date,temperature,humidity,luminosity
2019-12-11 14:44:49.013,AA04,"22.3,31.1",263
2019-12-11 14:44:49.020,AA04,"22.3,31.1",263
2019-12-11 14:44:50.879,AA04,"22.3,31.1",263
2019-12-11 14:44:53.157,AA04,"22.3,31.1",263
2019-12-11 14:44:55.431,AA04,"22.3,31.2",261
2019-12-11 14:44:57.703,AA04,"22.3,31.3",265
2019-12-11 14:44:59.976,AA04,"22.3,31.2",263
2019-12-11 14:45:02.255,AA04,"22.3,31.3",263
2019-12-11 14:45:04.528,AA04,"22.3,31.2",265
2019-12-11 14:45:06.800,AA04,"22.3,31.2",265
2019-12-11 14:45:09.075,AA04,"22.3,31.2",263
2019-12-11 14:45:11.348,AA04,"22.3,31.2",263
2019-12-11 14:45:13.624,AA04,"22.3,31.1",260
2019-12-11 14:45:15.899,AA04,"22.3,31.2",263
2019-12-11 14:45:18.171,AA04,"22.3,31.3",261
2019-12-11 14:45:20.444,AA04,"22.3,31.4",263
2019-12-11 14:45:22.718,AA04,"22.3,31.4",263
2019-12-11 14:45:24.995,AA04,"22.3,31.4",265
2019-12-11 14:45:27.268,AA04,"22.3,31.5",265
2019-12-11 14:45:29.542,AA04,"22.3,31.6",265
2019-12-11 14:45:31.815,AA04,"22.3,31.7",265
2019-12-11 14:45:34.091,AA04,"22.3,31.7",263
2019-12-11 14:45:36.366,AA04,"22.3,31.8",261
2019-12-11 14:45:38.639,AA04,"22.3,31.7",261
2019-12-11 14:45:40.911,AA04,"22.2,31.6",263
2019-12-11 14:45:43.190,AA04,"22.3,31.6",263
2019-12-11 14:45:45.463,AA04,"22.3,31.6",263
2019-12-11 14:45:47.736,AA04,"22.3,31.6",263
2019-12-11 14:45:50.009,AA04,"22.3,31.5",263
2019-12-11 14:45:52.286,AA04,"22.3,31.5",263
2019-12-11 14:45:54.558,AA04,"22.3,31.5",263
2019-12-11 14:45:56.833,AA04,"22.3,31.5",265
2019-12-11 14:45:59.106,AA04,"22.3,31.5",263
2019-12-11 14:46:01.382,AA04,"22.3,31.4",263
2019-12-11 14:46:03.657,AA04,"22.3,31.3",261
2019-12-11 14:46:05.930,AA04,"22.3,31.3",263
2019-12-11 14:46:08.202,AA04,"22.3,31.2",265
2019-12-11 14:46:10.481,AA04,"22.3,31.2",263
2019-12-11 14:46:12.754,AA04,"22.3,31.2",261
2019-12-11 14:46:15.026,AA04,"22.3,31.1",261
2019-12-11 14:46:17.301,AA04,"22.3,31.1",260
2019-12-11 14:46:19.574,AA04,"22.3,31.0",263
2019-12-11 14:46:21.850,AA04,"22.3,31.0",263
2019-12-11 14:46:24.124,AA04,"22.3,31.0",261
2019-12-11 14:46:26.397,AA04,"22.3,30.9",261
2019-12-11 14:46:28.670,AA04,"22.3,30.9",261
2019-12-11 14:46:30.948,AA04,"22.3,30.8",260
2019-12-11 14:46:33.220,AA04,"22.3,30.9",261
2019-12-11 14:46:35.494,AA04,"22.3,30.9",263
2019-12-11 14:46:37.768,AA04,"22.3,30.9",263
2019-12-11 14:46:40.045,AA04,"22.3,30.9",263
2019-12-11 14:46:42.318,AA04,"22.3,31.0",258
2019-12-11 14:46:44.592,AA04,"22.3,31.1",261
2019-12-11 14:46:46.865,AA04,"22.3,31.2",261
2019-12-11 14:46:49.138,AA04,"22.3,31.3",261
2019-12-11 14:46:51.416,AA04,"22.3,31.3",261
2019-12-11 14:46:53.688,AA04,"22.3,31.4",263
2019-12-11 14:46:55.961,AA04,"22.3,31.3",261
2019-12-11 14:46:58.235,AA04,"22.3,31.3",260
2019-12-11 14:47:00.512,AA04,"22.3,31.2",263
2019-12-11 14:47:02.784,AA04,"22.3,31.2",260
2019-12-11 14:47:05.058,AA04,"22.3,31.1",263
2019-12-11 14:47:07.332,AA04,"22.3,31.1",261
2019-12-11 14:47:09.608,AA04,"22.3,31.0",260
2019-12-11 14:47:11.882,AA04,"22.3,31.0",261
2019-12-11 14:47:14.156,AA04,"22.3,31.0",261
2019-12-11 14:47:16.429,AA04,"22.3,31.0",263
2019-12-11 14:47:18.702,AA04,"22.3,31.0",261
2019-12-11 14:47:20.980,AA04,"22.3,31.0",263
